MovieID,Age,avg(Rating),Title,Genres
1812,56,5.0,Wide Awake (1998),Children's|Comedy|Drama
3429,56,5.0,Creature Comforts (1990),Animation|Comedy
3616,56,5.0,Loser (2000),Comedy|Romance
3823,56,5.0,Wonderland (1999),Drama
214,56,5.0,Before the Rain (Pred dozhdot) (1994),Drama
1046,56,5.0,Beautiful Thing (1996),Drama|Romance
3709,56,5.0,Sleepwalkers (1992),Horror
3822,56,5.0,"Girl on the Bridge, The (La Fille sur le Pont) (1999)",Drama|Romance
1471,56,5.0,Boys Life 2 (1997),Drama
1570,56,5.0,Tetsuo II: Body Hammer (1992),Sci-Fi
1361,56,5.0,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary
1871,56,5.0,"Friend of the Deceased, A (1997)",Comedy|Drama
2197,56,5.0,Firelight (1997),Drama
443,56,5.0,"Endless Summer 2, The (1994)",Documentary
3659,56,5.0,Quatermass II (1957),Sci-Fi|Thriller
2930,56,5.0,Return with Honor (1998),Documentary
189,56,5.0,Reckless (1995),Comedy
559,56,5.0,"Paris, France (1993)",Comedy
2195,56,5.0,Dirty Work (1998),Comedy
2925,56,5.0,"Conformist, The (Il Conformista) (1970)",Drama
495,56,5.0,In the Realm of the Senses (Ai no corrida) (1976),Drama
3679,56,5.0,"Decline of Western Civilization, The (1981)",Documentary
1257,56,5.0,Better Off Dead... (1985),Comedy
1056,56,5.0,Jude (1996),Drama
1898,56,5.0,"Land Girls, The (1998)",Drama|War
2156,56,5.0,"Best Man, The (Il Testimone dello sposo) (1997)",Comedy|Drama
298,56,5.0,Pushing Hands (1992),Comedy
270,56,5.0,Love Affair (1994),Drama|Romance
2388,56,5.0,Steam: The Turkish Bath (Hamam) (1997),Drama|Romance
3410,56,5.0,Soft Fruit (1999),Comedy|Drama
1899,56,5.0,Passion in the Desert (1998),Adventure|Drama
2813,56,5.0,"Source, The (1999)",Documentary
3778,56,5.0,On Our Merry Way (1948),Comedy|Drama
2905,56,5.0,Sanjuro (1962),Action|Adventure
